,book_id,authors,title,isbn13,in_to_read_list,final_score
0,3000,Terry Pratchett,Jingo,9780552154160.0,False,2.3458887248982427
1,1099,"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",道德經 [dào dé jīng],9780679776190.0,False,2.1425383709564105
2,825,Lisa See,Shanghai Girls,9781400067110.0,False,2.1152589770525254
3,1168,"Benjamin Hoff, Ernest H. Shepard",The Tao of Pooh,9781405204260.0,False,2.04348183737655
4,7120,"Liu Cixin, Joel Martinsen",黑暗森林,9780765377080.0,False,1.9405862537257388
5,2676,"Liu Cixin, Ken Liu",三体,9780765377070.0,False,1.8607909760914654
6,5233,Kevin Kwan,China Rich Girlfriend,9780385539080.0,False,1.8594355009045593
7,7900,Katherine Addison,The Goblin Emperor,9780765327000.0,False,1.8523976046774386
8,6003,"Claire Huchet Bishop, Kurt Wiese",The Five Chinese Brothers,9780698113570.0,False,1.7653851204970106
9,6613,"Paul Hattaway, Brother Yun",The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,9780825462080.0,False,1.7566492849971251
10,649,"Haruki Murakami, Jay Rubin, Philip Gabriel",いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],9780307593310.0,True,1.7487911172742232
11,2942,James Clavell,Tai-Pan,9780440184620.0,False,1.7150865981908203
12,2783,Tamora Pierce,"Emperor Mage (Immortals, #3)",9781416903380.0,False,1.7020073241306166
13,3565,"Marguerite Henry, Wesley Dennis",Misty of Chincoteague,9781416927840.0,False,1.690236073689838
14,1487,Jung Chang,Wild Swans: Three Daughters of China,9780743246990.0,False,1.654013745024514
15,6128,E.M. Forster,Maurice,9780393310320.0,False,1.6506272164750444
16,3682,Mitchell Zuckoff,Lost in Shangri-la,9780061988350.0,False,1.6459796034783967
17,8729,Melanie Rawn,Dragon Prince,9780756403010.0,False,1.6308694646477455
18,6574,Gosho Aoyama,名探偵コナン 1,9781591163280.0,False,1.5752983112941654
19,9801,Danielle Steel,Zoya,9789875661610.0,False,1.5623980457073408
