,book_id,authors,title,isbn13,in_to_read_list,final_score
0,649,"Haruki Murakami, Jay Rubin, Philip Gabriel",いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],9780307593310.0,True,1.8710371209092427
1,3000,Terry Pratchett,Jingo,9780552154160.0,False,1.8153929046549337
2,825,Lisa See,Shanghai Girls,9781400067110.0,False,1.704208603787678
3,6951,Anna Lee Waldo,Sacajawea,9780380842930.0,False,1.6986290660761394
4,3578,Guy Gavriel Kay,Tigana,9780451457770.0,False,1.6984321252301222
5,4969,Karl Ove Knausgård,Min kamp 1,9788252574590.0,False,1.675776011088188
6,6650,Lois McMaster Bujold,Barrayar,9780743468410.0,False,1.6204893878384141
7,840,James Clavell,Shōgun,9780440178000.0,False,1.6189816394400645
8,7090,Émile Zola,Nana,9783746611100.0,False,1.6061736579879844
9,8812,Mircea Eliade,Maitreyi,9789735004100.0,False,1.5829416957022955
10,7393,Amelia Atwater-Rhodes,Hawksong,9780440238030.0,False,1.5403081508231204
11,6576,Yoshihiro Togashi,Yu Yu Hakusho,9781569319050.0,False,1.5373932613071657
12,5661,Ursula K. Le Guin,Tehanu,9781416509640.0,False,1.526645750360388
13,9812,Georgette Heyer,Frederica,9780099465640.0,False,1.5184778258095957
14,5253,Chris Van Allsburg,Jumanji,9780395304490.0,False,1.5052934727767862
15,2942,James Clavell,Tai-Pan,9780440184620.0,False,1.501073735597185
16,4716,"Rudyard Kipling, Edward Said",Kim,9780140183530.0,False,1.4982397440560336
17,5233,Kevin Kwan,China Rich Girlfriend,9780385539080.0,False,1.4898505097689712
18,7120,"Liu Cixin, Joel Martinsen",黑暗森林,9780765377080.0,False,1.4880056719140529
19,6128,E.M. Forster,Maurice,9780393310320.0,False,1.4813827254226173
